"Position","Name","Type","Signal","Label"
"1","PE2","Output","GPIO_Output","LED0"
"2","PE3","Output","GPIO_Output","LED1"
"3","PE4","Output","GPIO_Output","LED2"
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN","I/O","",""
"9","PC15-OSC32_OUT","I/O","",""
"10","PF0","I/O","FMC_A0",""
"11","PF1","I/O","FMC_A1",""
"12","PF2","I/O","FMC_A2",""
"13","PF3","I/O","FMC_A3",""
"14","PF4","I/O","FMC_A4",""
"15","PF5","I/O","FMC_A5",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","",""
"19","PF7","I/O","",""
"20","PF8","I/O","GPIO_EXTI8","KBI0"
"21","PF9","I/O","GPIO_EXTI9","KBI1"
"22","PF10","I/O","",""
"23","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"24","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"25","NRST","Reset","",""
"26","PC0","I/O","FMC_SDNWE",""
"27","PC1","I/O","",""
"28","PC2_C","I/O","FMC_SDNE0",""
"29","PC3_C","I/O","FMC_SDCKE0",""
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","MonoIO","",""
"33","VDDA","Power","",""
"34","PA0-WKUP","I/O","",""
"35","PA1","I/O","TIM5_CH2","RGB_R"
"36","PA2","I/O","TIM5_CH3","RGB_G"
"37","PA3","I/O","TIM5_CH4","RGB_B"
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","I/O","DAC1_OUT1",""
"41","PA5","I/O","",""
"42","PA6","I/O","TIM3_CH1",""
"43","PA7","I/O","",""
"44","PC4","I/O","",""
"45","PC5","I/O","",""
"46","PB0","Output","GPIO_Output","KB0"
"47","PB1","Output","GPIO_Output","KB1"
"48","PB2","Output","GPIO_Output","KB2"
"49","PF11","I/O","FMC_SDNRAS",""
"50","PF12","I/O","FMC_A6",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","FMC_A7",""
"54","PF14","I/O","FMC_A8",""
"55","PF15","I/O","FMC_A9",""
"56","PG0","I/O","FMC_A10",""
"57","PG1","I/O","FMC_A11",""
"58","PE7","I/O","FMC_D4",""
"59","PE8","I/O","FMC_D5",""
"60","PE9","I/O","FMC_D6",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","FMC_D7",""
"64","PE11","I/O","FMC_D8",""
"65","PE12","I/O","FMC_D9",""
"66","PE13","I/O","FMC_D10",""
"67","PE14","I/O","FMC_D11",""
"68","PE15","I/O","FMC_D12",""
"69","PB10","I/O","GPIO_EXTI10","KBI2"
"70","PB11","I/O","GPIO_EXTI11","KBI3"
"71","VCAP1","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","GPIO_EXTI12","KBI4"
"74","PB13","I/O","GPIO_EXTI13","KBI5"
"75","PB14","I/O","GPIO_EXTI14","KBI6"
"76","PB15","I/O","GPIO_EXTI15","KBI7"
"77","PD8","I/O","FMC_D13",""
"78","PD9","I/O","FMC_D14",""
"79","PD10","I/O","FMC_D15",""
"80","PD11","I/O","",""
"81","PD12","I/O","",""
"82","PD13","I/O","",""
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","FMC_D0",""
"86","PD15","I/O","FMC_D1",""
"87","PG2","I/O","FMC_A12",""
"88","PG3","I/O","",""
"89","PG4","I/O","FMC_BA0",""
"90","PG5","I/O","FMC_BA1",""
"91","PG6","I/O","",""
"92","PG7","I/O","",""
"93","PG8","I/O","FMC_SDCLK",""
"94","VSS","Power","",""
"95","VDD33_USB","Power","",""
"96","PC6","I/O","",""
"97","PC7","I/O","FMC_NE1",""
"98","PC8","I/O","SDMMC1_D0",""
"99","PC9","I/O","SDMMC1_D1",""
"100","PA8","I/O","RCC_MCO_1",""
"101","PA9","I/O","USART1_TX",""
"102","PA10","I/O","USART1_RX",""
"103","PA11","I/O","",""
"104","PA12","I/O","",""
"105","PA13","I/O","SYS_JTMS-SWDIO",""
"106","VCAP2","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14","I/O","SYS_JTCK-SWCLK",""
"110","PA15","I/O","",""
"111","PC10","I/O","SDMMC1_D2",""
"112","PC11","I/O","SDMMC1_D3",""
"113","PC12","I/O","SDMMC1_CK",""
"114","PD0","I/O","FMC_D2",""
"115","PD1","I/O","FMC_D3",""
"116","PD2","I/O","SDMMC1_CMD",""
"117","PD3","I/O","",""
"118","PD4","I/O","FMC_NOE",""
"119","PD5","I/O","FMC_NWE",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","",""
"123","PD7","I/O","",""
"124","PG9","I/O","",""
"125","PG10","I/O","",""
"126","PG11","I/O","",""
"127","PG12","I/O","",""
"128","PG13","I/O","",""
"129","PG14","I/O","FMC_A25",""
"130","VSS","Power","",""
"131","VDD","Power","",""
"132","PG15","I/O","FMC_SDNCAS",""
"133","PB3","Output","GPIO_Output","KB3"
"134","PB4","Output","GPIO_Output","KB4"
"135","PB5","Output","GPIO_Output","KB5"
"136","PB6","Output","GPIO_Output","KB6"
"137","PB7","Output","GPIO_Output","KB7"
"138","BOOT0","Boot","",""
"139","PB8","I/O","",""
"140","PB9","I/O","",""
"141","PE0","I/O","FMC_NBL0",""
"142","PE1","I/O","FMC_NBL1",""
"143","PDR_ON","Reset","",""
"144","VDD","Power","",""
