Reference, Quantity, Value, Footprint, Datasheet
C1 C2 ,2,20pF,Capacitors_SMD:C_0805,
C20 C34 C41 C42 ,4,4.7u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
C22 C35 ,2,1u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
C29 C36 ,2,2.2u,Capacitors_SMD:C_0805,
C37 C38 ,2,0.33u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C21 C23 C24 C25 C26 C27 C28 C3 C30 C31 C32 C33 C39 C4 C40 C5 C6 C7 C8 C9 ,30,100n,Capacitors_SMD:C_0805,
D1 ,1,PwrLed,Resistors_SMD:R_1210,
D2 D3 ,2,TX,Resistors_SMD:R_1210,
D4 D5 ,2,RX,Resistors_SMD:R_1210,
D6 ,1,MT48LC32M8A2P,tsop-54:TSOP-54,
D7 ,1,5V_IN,Resistors_SMD:R_1210,
D8 ,1,3V3_weak,Resistors_SMD:R_1210,
DA1 ,1,PSA05-11,psa05:PSA05-11,
JP1 ,1,JUMPER3,Pin_Headers:Pin_Header_Straight_1x03,
JP2 ,1,JUMPER,Pin_Headers:Pin_Header_Straight_1x02,
P1 ,1,CONN_02X20,Pin_Headers:Pin_Header_Straight_2x20,
P2 ,1,3V_IN,Pin_Headers:Pin_Header_Straight_1x02,
P3 P4 P5 ,3,USB_OTG,Connect:USB_Mini-B,
P6 ,1,AuxPwrSel,Pin_Headers:Pin_Header_Straight_2x03,
R10 R11 R12 R13 R18 R2 R3 R4 R6 R7 R9 ,11,10K,Resistors_SMD:R_0805,
R14 ,1,DNP,Resistors_SMD:R_0805,
R1 R15 R16 R17 R19 R20 R21 R5 R8 ,9,330,Resistors_SMD:R_0805,
SW1 ,1,Reset,button_bourns:but_7914G,
SW10 SW11 SW12 SW13 SW14 SW15 SW16 SW17 SW18 SW19 SW2 SW20 SW21 SW3 SW4 SW5 SW6 SW7 SW8 SW9 ,20,B,button_bourns:but_7914G,
U1 ,1,STM32F746BGTx,qfp208:QFP_208,
U2 ,1,MICROSD,molex sd slot 2:microSD,
U3 U4 ,2,FT232RL,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,
U5 ,1,LM2937-3.3,Power_Integrations:TO-220,
W1 ,1,Clock,Pin_Headers:Pin_Header_Straight_1x01,
Y1 ,1,20MHz,Crystals:Crystal_HC49-U_Vertical,
