"Position","Name","Type","Signal","Label"
"1","PE2","Input","GPIO_Input","B1"
"2","PE3","Input","GPIO_Input","B2"
"3","PE4","Input","GPIO_Input","B3"
"4","PE5","Input","GPIO_Input","B4"
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PI8","I/O","",""
"8","PC13","I/O","",""
"9","PC14/OSC32_IN","I/O","",""
"10","PC15/OSC32_OUT","I/O","",""
"11","PI9","I/O","LTDC_VSYNC",""
"12","PI10","I/O","LTDC_HSYNC",""
"13","PI11","I/O","LTDC_G6",""
"14","VSS","Power","",""
"15","VDD","Power","",""
"16","PF0","I/O","FMC_A0",""
"17","PF1","I/O","FMC_A1",""
"18","PF2","I/O","FMC_A2",""
"19","PF3","I/O","FMC_A3",""
"20","PF4","I/O","FMC_A4",""
"21","PF5","I/O","FMC_A5",""
"22","VSS","Power","",""
"23","VDD","Power","",""
"24","PF6","I/O","",""
"25","PF7","I/O","",""
"26","PF8","I/O","",""
"27","PF9","I/O","",""
"28","PF10","I/O","LTDC_DE",""
"29","PH0/OSC_IN","I/O","RCC_OSC_IN",""
"30","PH1/OSC_OUT","I/O","RCC_OSC_OUT",""
"31","NRST","Reset","",""
"32","PC0","I/O","FMC_SDNWE",""
"33","PC1","I/O","SPI2_MOSI",""
"34","PC2","I/O","FMC_SDNE0",""
"35","PC3","I/O","FMC_SDCKE0",""
"36","VDD","Power","",""
"37","VSSA","Power","",""
"38","VREF+","Power","",""
"39","VDDA","Power","",""
"40","PA0/WKUP","I/O","TIM2_CH1",""
"41","PA1","I/O","LTDC_R2",""
"42","PA2","I/O","",""
"43","PH2","I/O","",""
"44","PH3","I/O","",""
"45","PH4","I/O","LTDC_G4",""
"46","PH5","I/O","",""
"47","PA3","I/O","LTDC_B5",""
"48","BYPASS_REG","Reset","",""
"49","VDD","Power","",""
"50","PA4","I/O","SPI1_NSS",""
"51","PA5","I/O","SPI1_SCK",""
"52","PA6","I/O","SPI1_MISO",""
"53","PA7","I/O","SPI1_MOSI",""
"54","PC4","I/O","",""
"55","PC5","I/O","",""
"56","PB0","I/O","LTDC_R3",""
"57","PB1","I/O","LTDC_R6",""
"58","PB2","I/O","",""
"59","PF11","I/O","FMC_SDNRAS",""
"60","PF12","I/O","FMC_A6",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PF13","I/O","FMC_A7",""
"64","PF14","I/O","FMC_A8",""
"65","PF15","I/O","FMC_A9",""
"66","PG0","I/O","FMC_A10",""
"67","PG1","I/O","FMC_A11",""
"68","PE7","I/O","FMC_D4",""
"69","PE8","I/O","FMC_D5",""
"70","PE9","I/O","FMC_D6",""
"71","VSS","Power","",""
"72","VDD","Power","",""
"73","PE10","I/O","FMC_D7",""
"74","PE11","I/O","FMC_D8",""
"75","PE12","I/O","FMC_D9",""
"76","PE13","I/O","FMC_D10",""
"77","PE14","I/O","FMC_D11",""
"78","PE15","I/O","FMC_D12",""
"79","PB10","I/O","SPI2_SCK",""
"80","PB11","I/O","LTDC_G5",""
"81","VCAP_1","Power","",""
"82","VDD","Power","",""
"83","PH6","Output","GPIO_Output","LCD1_RESET"
"84","PH7","Output","GPIO_Output","LCD2_RESET"
"85","PH8","Output","GPIO_Output","SSEG_DOT"
"86","PH9","Input","GPIO_Input","LCD2_FMARK"
"87","PH10","I/O","LTDC_R4",""
"88","PH11","I/O","LTDC_R5",""
"89","PH12","Input","GPIO_Input","LCD1_FMARK"
"90","VSS","Power","",""
"91","VDD","Power","",""
"92","PB12","I/O","SPI2_NSS",""
"93","PB13","I/O","",""
"94","PB14","I/O","",""
"95","PB15","I/O","",""
"96","PD8","I/O","FMC_D13",""
