Reference, Quantity, Value, Footprint, Datasheet
C13 C14 ,2,20p,Capacitors_SMD:C_0805,
C19 C20 ,2,2.2u,Capacitors_SMD:C_0805,
C1 C10 C11 C12 C15 C16 C2 C3 C4 C5 C6 C7 C8 C9 ,14,100n,Capacitors_SMD:C_0805,
C17 C18 C21 C22 ,4,47u,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Wave,
D1 ,1,LD1,Resistors_SMD:R_1210,
D2 ,1,LD2,Resistors_SMD:R_1210,
D3 ,1,5V,Resistors_SMD:R_1210,
D4 ,1,RX,Resistors_SMD:R_1210,
D5 ,1,TX,Resistors_SMD:R_1210,
D6 ,1,3V,Resistors_SMD:R_1210,
DD7 ,1,MT48LC16M16A2,tsop-54:TSOP-54,
P1 ,1,USB_OTG,Connect:USB_Mini-B,
P2 ,1,USB_A,Connect:USB_A,
P3 ,1,SWD,Pin_Headers:Pin_Header_Straight_1x04,
P4 ,1,microSD,molex sd slot 2:microSD,
P5 ,1,BATR,Pin_Headers:Pin_Header_Straight_1x02,
R30 R31 R53 ,3,1k,Resistors_SMD:R_0805,
R33 R35 ,2,510,Resistors_SMD:R_0805,
R32 R34 R38 R39 R48 ,5,330,Resistors_SMD:R_0805,
R41 R42 R45 R47 R50 R52 ,6,DNP,Resistors_SMD:R_0402,
R1 R40 R43 R44 R46 R51 ,6,0,Resistors_SMD:R_0402,
R21 R3 R37 R49 ,4,10k,Resistors_SMD:R_0805,
SW1 ,1,RST,button_bourns:but_7914G,
SW2 ,1,B4,Buttons_Switches_ThroughHole:SW_Tactile_SPST_Angled,
SW3 ,1,B3,Buttons_Switches_ThroughHole:SW_Tactile_SPST_Angled,
SW4 ,1,B2,Buttons_Switches_ThroughHole:SW_Tactile_SPST_Angled,
SW5 ,1,B1,Buttons_Switches_ThroughHole:SW_Tactile_SPST_Angled,
SW6 ,1,BOOT,button_bourns:but_7914G,
U3 ,1,ULN2003A,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
U5 ,1,STM32F767IIT6,Housings_QFP:LQFP-176_24x24mm_Pitch0.5mm,
U6 ,1,FT232RL,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,
U7 ,1,LM2937-3.3,TO_SOT_Packages_THT:TO-220_Neutral123_Horizontal,
U8 ,1,WF24HTLAJDNN0,TFT-WF24HTLAJDNN:FPC_39,
U9 ,1,DT022CTFT,XF2M45151A:XF2M45151A,
W1 ,1,MCO,Connect:PINTST,
Y1 ,1,20MHz,Crystals:Crystal_HC49-U_Vertical,
